date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
01/05/2015,12:53 PM,Full Moon,3,2015-01-05 12:53:00,1420433580,"January 5, 2015","Asia/Hong_Kong"
01/13/2015,05:46 PM,Last Quarter,4,2015-01-13 17:46:00,1421142360,"January 13, 2015","Asia/Hong_Kong"
01/20/2015,09:14 PM,New Moon,1,2015-01-20 21:14:00,1421759640,"January 20, 2015","Asia/Hong_Kong"
01/27/2015,12:48 PM,First Quarter,2,2015-01-27 12:48:00,1422334080,"January 27, 2015","Asia/Hong_Kong"
02/04/2015,07:09 AM,Full Moon,3,2015-02-04 07:09:00,1423004940,"February 4, 2015","Asia/Hong_Kong"
02/12/2015,11:50 AM,Last Quarter,4,2015-02-12 11:50:00,1423713000,"February 12, 2015","Asia/Hong_Kong"
02/19/2015,07:47 AM,New Moon,1,2015-02-19 07:47:00,1424303220,"February 19, 2015","Asia/Hong_Kong"
02/26/2015,01:14 AM,First Quarter,2,2015-02-26 01:14:00,1424884440,"February 26, 2015","Asia/Hong_Kong"
03/06/2015,02:05 AM,Full Moon,3,2015-03-06 02:05:00,1425578700,"March 6, 2015","Asia/Hong_Kong"
03/14/2015,01:48 AM,Last Quarter,4,2015-03-14 01:48:00,1426268880,"March 14, 2015","Asia/Hong_Kong"
03/20/2015,05:36 PM,New Moon,1,2015-03-20 17:36:00,1426844160,"March 20, 2015","Asia/Hong_Kong"
03/27/2015,03:43 PM,First Quarter,2,2015-03-27 15:43:00,1427442180,"March 27, 2015","Asia/Hong_Kong"
04/04/2015,08:05 PM,Full Moon,3,2015-04-04 20:05:00,1428149100,"April 4, 2015","Asia/Hong_Kong"
04/12/2015,11:44 AM,Last Quarter,4,2015-04-12 11:44:00,1428810240,"April 12, 2015","Asia/Hong_Kong"
04/19/2015,02:57 AM,New Moon,1,2015-04-19 02:57:00,1429383420,"April 19, 2015","Asia/Hong_Kong"
04/26/2015,07:55 AM,First Quarter,2,2015-04-26 07:55:00,1430006100,"April 26, 2015","Asia/Hong_Kong"
05/04/2015,11:42 AM,Full Moon,3,2015-05-04 11:42:00,1430710920,"May 4, 2015","Asia/Hong_Kong"
05/11/2015,06:36 PM,Last Quarter,4,2015-05-11 18:36:00,1431340560,"May 11, 2015","Asia/Hong_Kong"
05/18/2015,12:13 PM,New Moon,1,2015-05-18 12:13:00,1431922380,"May 18, 2015","Asia/Hong_Kong"
05/26/2015,01:19 AM,First Quarter,2,2015-05-26 01:19:00,1432574340,"May 26, 2015","Asia/Hong_Kong"
06/03/2015,12:19 AM,Full Moon,3,2015-06-03 00:19:00,1433261940,"June 3, 2015","Asia/Hong_Kong"
06/09/2015,11:42 PM,Last Quarter,4,2015-06-09 23:42:00,1433864520,"June 9, 2015","Asia/Hong_Kong"
06/16/2015,10:05 PM,New Moon,1,2015-06-16 22:05:00,1434463500,"June 16, 2015","Asia/Hong_Kong"
06/24/2015,07:02 PM,First Quarter,2,2015-06-24 19:02:00,1435143720,"June 24, 2015","Asia/Hong_Kong"
07/02/2015,10:20 AM,Full Moon,3,2015-07-02 10:20:00,1435803600,"July 2, 2015","Asia/Hong_Kong"
07/09/2015,04:24 AM,Last Quarter,4,2015-07-09 04:24:00,1436387040,"July 9, 2015","Asia/Hong_Kong"
07/16/2015,09:24 AM,New Moon,1,2015-07-16 09:24:00,1437009840,"July 16, 2015","Asia/Hong_Kong"
07/24/2015,12:04 PM,First Quarter,2,2015-07-24 12:04:00,1437710640,"July 24, 2015","Asia/Hong_Kong"
07/31/2015,06:43 PM,Full Moon,3,2015-07-31 18:43:00,1438339380,"July 31, 2015","Asia/Hong_Kong"
08/07/2015,10:03 AM,Last Quarter,4,2015-08-07 10:03:00,1438912980,"August 7, 2015","Asia/Hong_Kong"
08/14/2015,10:53 PM,New Moon,1,2015-08-14 22:53:00,1439563980,"August 14, 2015","Asia/Hong_Kong"
08/23/2015,03:31 AM,First Quarter,2,2015-08-23 03:31:00,1440271860,"August 23, 2015","Asia/Hong_Kong"
08/30/2015,02:35 AM,Full Moon,3,2015-08-30 02:35:00,1440873300,"August 30, 2015","Asia/Hong_Kong"
09/05/2015,05:54 PM,Last Quarter,4,2015-09-05 17:54:00,1441446840,"September 5, 2015","Asia/Hong_Kong"
09/13/2015,02:41 PM,New Moon,1,2015-09-13 14:41:00,1442126460,"September 13, 2015","Asia/Hong_Kong"
09/21/2015,04:59 PM,First Quarter,2,2015-09-21 16:59:00,1442825940,"September 21, 2015","Asia/Hong_Kong"
09/28/2015,10:50 AM,Full Moon,3,2015-09-28 10:50:00,1443408600,"September 28, 2015","Asia/Hong_Kong"
10/05/2015,05:06 AM,Last Quarter,4,2015-10-05 05:06:00,1443992760,"October 5, 2015","Asia/Hong_Kong"
10/13/2015,08:06 AM,New Moon,1,2015-10-13 08:06:00,1444694760,"October 13, 2015","Asia/Hong_Kong"
10/21/2015,04:31 AM,First Quarter,2,2015-10-21 04:31:00,1445373060,"October 21, 2015","Asia/Hong_Kong"
10/27/2015,08:05 PM,Full Moon,3,2015-10-27 20:05:00,1445947500,"October 27, 2015","Asia/Hong_Kong"
11/03/2015,08:24 PM,Last Quarter,4,2015-11-03 20:24:00,1446553440,"November 3, 2015","Asia/Hong_Kong"
11/12/2015,01:47 AM,New Moon,1,2015-11-12 01:47:00,1447264020,"November 12, 2015","Asia/Hong_Kong"
11/19/2015,02:27 PM,First Quarter,2,2015-11-19 14:27:00,1447914420,"November 19, 2015","Asia/Hong_Kong"
11/26/2015,06:44 AM,Full Moon,3,2015-11-26 06:44:00,1448491440,"November 26, 2015","Asia/Hong_Kong"
12/03/2015,03:40 PM,Last Quarter,4,2015-12-03 15:40:00,1449128400,"December 3, 2015","Asia/Hong_Kong"
12/11/2015,06:29 PM,New Moon,1,2015-12-11 18:29:00,1449829740,"December 11, 2015","Asia/Hong_Kong"
12/18/2015,11:14 PM,First Quarter,2,2015-12-18 23:14:00,1450451640,"December 18, 2015","Asia/Hong_Kong"
12/25/2015,07:11 PM,Full Moon,3,2015-12-25 19:11:00,1451041860,"December 25, 2015","Asia/Hong_Kong"
