date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
09/07/2021,08:52 AM,New Moon,1,2021-09-07 08:52:00,1630975920,"September 7, 2021","Asia/Hong_Kong"
09/14/2021,04:39 AM,First Quarter,2,2021-09-14 04:39:00,1631565540,"September 14, 2021","Asia/Hong_Kong"
09/21/2021,07:55 AM,Full Moon,3,2021-09-21 07:55:00,1632182100,"September 21, 2021","Asia/Hong_Kong"
09/29/2021,09:57 AM,Last Quarter,4,2021-09-29 09:57:00,1632880620,"September 29, 2021","Asia/Hong_Kong"
10/06/2021,07:05 PM,New Moon,1,2021-10-06 19:05:00,1633518300,"October 6, 2021","Asia/Hong_Kong"
10/13/2021,11:25 AM,First Quarter,2,2021-10-13 11:25:00,1634095500,"October 13, 2021","Asia/Hong_Kong"
10/20/2021,10:57 PM,Full Moon,3,2021-10-20 22:57:00,1634741820,"October 20, 2021","Asia/Hong_Kong"
10/29/2021,04:05 AM,Last Quarter,4,2021-10-29 04:05:00,1635451500,"October 29, 2021","Asia/Hong_Kong"
11/05/2021,05:14 AM,New Moon,1,2021-11-05 05:14:00,1636060440,"November 5, 2021","Asia/Hong_Kong"
11/11/2021,08:46 PM,First Quarter,2,2021-11-11 20:46:00,1636634760,"November 11, 2021","Asia/Hong_Kong"
11/19/2021,04:57 PM,Full Moon,3,2021-11-19 16:57:00,1637312220,"November 19, 2021","Asia/Hong_Kong"
11/27/2021,08:28 PM,Last Quarter,4,2021-11-27 20:28:00,1638016080,"November 27, 2021","Asia/Hong_Kong"
12/04/2021,03:43 PM,New Moon,1,2021-12-04 15:43:00,1638603780,"December 4, 2021","Asia/Hong_Kong"
12/11/2021,09:35 AM,First Quarter,2,2021-12-11 09:35:00,1639186500,"December 11, 2021","Asia/Hong_Kong"
12/19/2021,12:35 PM,Full Moon,3,2021-12-19 12:35:00,1639888500,"December 19, 2021","Asia/Hong_Kong"
12/27/2021,10:24 AM,Last Quarter,4,2021-12-27 10:24:00,1640571840,"December 27, 2021","Asia/Hong_Kong"
