date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
01/06/2021,05:37 PM,Last Quarter,4,2021-01-06 17:37:00,1609925820,"January 6, 2021","Asia/Hong_Kong"
01/13/2021,01:00 PM,New Moon,1,2021-01-13 13:00:00,1610514000,"January 13, 2021","Asia/Hong_Kong"
01/21/2021,05:01 AM,First Quarter,2,2021-01-21 05:01:00,1611176460,"January 21, 2021","Asia/Hong_Kong"
01/29/2021,03:16 AM,Full Moon,3,2021-01-29 03:16:00,1611861360,"January 29, 2021","Asia/Hong_Kong"
02/05/2021,01:37 AM,Last Quarter,4,2021-02-05 01:37:00,1612460220,"February 5, 2021","Asia/Hong_Kong"
02/12/2021,03:06 AM,New Moon,1,2021-02-12 03:06:00,1613070360,"February 12, 2021","Asia/Hong_Kong"
02/20/2021,02:47 AM,First Quarter,2,2021-02-20 02:47:00,1613760420,"February 20, 2021","Asia/Hong_Kong"
02/27/2021,04:17 PM,Full Moon,3,2021-02-27 16:17:00,1614413820,"February 27, 2021","Asia/Hong_Kong"
03/06/2021,09:30 AM,Last Quarter,4,2021-03-06 09:30:00,1614994200,"March 6, 2021","Asia/Hong_Kong"
03/13/2021,06:21 PM,New Moon,1,2021-03-13 18:21:00,1615630860,"March 13, 2021","Asia/Hong_Kong"
03/21/2021,10:40 PM,First Quarter,2,2021-03-21 22:40:00,1616337600,"March 21, 2021","Asia/Hong_Kong"
03/29/2021,02:48 AM,Full Moon,3,2021-03-29 02:48:00,1616957280,"March 29, 2021","Asia/Hong_Kong"
04/04/2021,06:02 PM,Last Quarter,4,2021-04-04 18:02:00,1617530520,"April 4, 2021","Asia/Hong_Kong"
04/12/2021,10:31 AM,New Moon,1,2021-04-12 10:31:00,1618194660,"April 12, 2021","Asia/Hong_Kong"
04/20/2021,02:59 PM,First Quarter,2,2021-04-20 14:59:00,1618901940,"April 20, 2021","Asia/Hong_Kong"
04/27/2021,11:31 AM,Full Moon,3,2021-04-27 11:31:00,1619494260,"April 27, 2021","Asia/Hong_Kong"
05/04/2021,03:50 AM,Last Quarter,4,2021-05-04 03:50:00,1620071400,"May 4, 2021","Asia/Hong_Kong"
05/12/2021,03:00 AM,New Moon,1,2021-05-12 03:00:00,1620759600,"May 12, 2021","Asia/Hong_Kong"
05/20/2021,03:13 AM,First Quarter,2,2021-05-20 03:13:00,1621451580,"May 20, 2021","Asia/Hong_Kong"
05/26/2021,07:14 PM,Full Moon,3,2021-05-26 19:14:00,1622027640,"May 26, 2021","Asia/Hong_Kong"
06/02/2021,03:24 PM,Last Quarter,4,2021-06-02 15:24:00,1622618640,"June 2, 2021","Asia/Hong_Kong"
06/10/2021,06:53 PM,New Moon,1,2021-06-10 18:53:00,1623322380,"June 10, 2021","Asia/Hong_Kong"
06/18/2021,11:54 AM,First Quarter,2,2021-06-18 11:54:00,1623988440,"June 18, 2021","Asia/Hong_Kong"
06/25/2021,02:40 AM,Full Moon,3,2021-06-25 02:40:00,1624560000,"June 25, 2021","Asia/Hong_Kong"
07/02/2021,05:11 AM,Last Quarter,4,2021-07-02 05:11:00,1625173860,"July 2, 2021","Asia/Hong_Kong"
07/10/2021,09:17 AM,New Moon,1,2021-07-10 09:17:00,1625879820,"July 10, 2021","Asia/Hong_Kong"
07/17/2021,06:11 PM,First Quarter,2,2021-07-17 18:11:00,1626516660,"July 17, 2021","Asia/Hong_Kong"
07/24/2021,10:37 AM,Full Moon,3,2021-07-24 10:37:00,1627094220,"July 24, 2021","Asia/Hong_Kong"
07/31/2021,09:16 PM,Last Quarter,4,2021-07-31 21:16:00,1627737360,"July 31, 2021","Asia/Hong_Kong"
08/08/2021,09:50 PM,New Moon,1,2021-08-08 21:50:00,1628430600,"August 8, 2021","Asia/Hong_Kong"
08/15/2021,11:19 PM,First Quarter,2,2021-08-15 23:19:00,1629040740,"August 15, 2021","Asia/Hong_Kong"
08/22/2021,08:02 PM,Full Moon,3,2021-08-22 20:02:00,1629633720,"August 22, 2021","Asia/Hong_Kong"
08/30/2021,03:13 PM,Last Quarter,4,2021-08-30 15:13:00,1630307580,"August 30, 2021","Asia/Hong_Kong"
