date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
01/02/2016,01:30 PM,Last Quarter,4,2016-01-02 13:30:00,1451712600,"January 2, 2016","Asia/Hong_Kong"
01/10/2016,09:30 AM,New Moon,1,2016-01-10 09:30:00,1452389400,"January 10, 2016","Asia/Hong_Kong"
01/17/2016,07:26 AM,First Quarter,2,2016-01-17 07:26:00,1452986760,"January 17, 2016","Asia/Hong_Kong"
01/24/2016,09:46 AM,Full Moon,3,2016-01-24 09:46:00,1453599960,"January 24, 2016","Asia/Hong_Kong"
02/01/2016,11:28 AM,Last Quarter,4,2016-02-01 11:28:00,1454297280,"February 1, 2016","Asia/Hong_Kong"
02/08/2016,10:39 PM,New Moon,1,2016-02-08 22:39:00,1454942340,"February 8, 2016","Asia/Hong_Kong"
02/15/2016,03:46 PM,First Quarter,2,2016-02-15 15:46:00,1455522360,"February 15, 2016","Asia/Hong_Kong"
02/23/2016,02:20 AM,Full Moon,3,2016-02-23 02:20:00,1456165200,"February 23, 2016","Asia/Hong_Kong"
03/02/2016,07:11 AM,Last Quarter,4,2016-03-02 07:11:00,1456873860,"March 2, 2016","Asia/Hong_Kong"
03/09/2016,09:54 AM,New Moon,1,2016-03-09 09:54:00,1457488440,"March 9, 2016","Asia/Hong_Kong"
03/16/2016,01:03 AM,First Quarter,2,2016-03-16 01:03:00,1458061380,"March 16, 2016","Asia/Hong_Kong"
03/23/2016,08:01 PM,Full Moon,3,2016-03-23 20:01:00,1458734460,"March 23, 2016","Asia/Hong_Kong"
03/31/2016,11:17 PM,Last Quarter,4,2016-03-31 23:17:00,1459437420,"March 31, 2016","Asia/Hong_Kong"
04/07/2016,07:24 PM,New Moon,1,2016-04-07 19:24:00,1460028240,"April 7, 2016","Asia/Hong_Kong"
04/14/2016,11:59 AM,First Quarter,2,2016-04-14 11:59:00,1460606340,"April 14, 2016","Asia/Hong_Kong"
04/22/2016,01:24 PM,Full Moon,3,2016-04-22 13:24:00,1461302640,"April 22, 2016","Asia/Hong_Kong"
04/30/2016,11:29 AM,Last Quarter,4,2016-04-30 11:29:00,1461986940,"April 30, 2016","Asia/Hong_Kong"
05/07/2016,03:29 AM,New Moon,1,2016-05-07 03:29:00,1462562940,"May 7, 2016","Asia/Hong_Kong"
05/14/2016,01:02 AM,First Quarter,2,2016-05-14 01:02:00,1463158920,"May 14, 2016","Asia/Hong_Kong"
05/22/2016,05:14 AM,Full Moon,3,2016-05-22 05:14:00,1463865240,"May 22, 2016","Asia/Hong_Kong"
05/29/2016,08:12 PM,Last Quarter,4,2016-05-29 20:12:00,1464523920,"May 29, 2016","Asia/Hong_Kong"
06/05/2016,11:00 AM,New Moon,1,2016-06-05 11:00:00,1465095600,"June 5, 2016","Asia/Hong_Kong"
06/12/2016,04:10 PM,First Quarter,2,2016-06-12 16:10:00,1465719000,"June 12, 2016","Asia/Hong_Kong"
06/20/2016,07:02 PM,Full Moon,3,2016-06-20 19:02:00,1466420520,"June 20, 2016","Asia/Hong_Kong"
06/28/2016,02:19 AM,Last Quarter,4,2016-06-28 02:19:00,1467051540,"June 28, 2016","Asia/Hong_Kong"
07/04/2016,07:01 PM,New Moon,1,2016-07-04 19:01:00,1467630060,"July 4, 2016","Asia/Hong_Kong"
07/12/2016,08:52 AM,First Quarter,2,2016-07-12 08:52:00,1468284720,"July 12, 2016","Asia/Hong_Kong"
07/20/2016,06:56 AM,Full Moon,3,2016-07-20 06:56:00,1468968960,"July 20, 2016","Asia/Hong_Kong"
07/27/2016,07:00 AM,Last Quarter,4,2016-07-27 07:00:00,1469574000,"July 27, 2016","Asia/Hong_Kong"
08/03/2016,04:44 AM,New Moon,1,2016-08-03 04:44:00,1470170640,"August 3, 2016","Asia/Hong_Kong"
08/11/2016,02:21 AM,First Quarter,2,2016-08-11 02:21:00,1470853260,"August 11, 2016","Asia/Hong_Kong"
08/18/2016,05:26 PM,Full Moon,3,2016-08-18 17:26:00,1471512360,"August 18, 2016","Asia/Hong_Kong"
08/25/2016,11:41 AM,Last Quarter,4,2016-08-25 11:41:00,1472096460,"August 25, 2016","Asia/Hong_Kong"
09/01/2016,05:03 PM,New Moon,1,2016-09-01 17:03:00,1472720580,"September 1, 2016","Asia/Hong_Kong"
09/09/2016,07:49 PM,First Quarter,2,2016-09-09 19:49:00,1473421740,"September 9, 2016","Asia/Hong_Kong"
09/17/2016,03:05 AM,Full Moon,3,2016-09-17 03:05:00,1474052700,"September 17, 2016","Asia/Hong_Kong"
09/23/2016,05:56 PM,Last Quarter,4,2016-09-23 17:56:00,1474624560,"September 23, 2016","Asia/Hong_Kong"
10/01/2016,08:11 AM,New Moon,1,2016-10-01 08:11:00,1475280660,"October 1, 2016","Asia/Hong_Kong"
10/09/2016,12:33 PM,First Quarter,2,2016-10-09 12:33:00,1475987580,"October 9, 2016","Asia/Hong_Kong"
10/16/2016,12:23 PM,Full Moon,3,2016-10-16 12:23:00,1476591780,"October 16, 2016","Asia/Hong_Kong"
10/23/2016,03:14 AM,Last Quarter,4,2016-10-23 03:14:00,1477163640,"October 23, 2016","Asia/Hong_Kong"
10/31/2016,01:38 AM,New Moon,1,2016-10-31 01:38:00,1477849080,"October 31, 2016","Asia/Hong_Kong"
11/08/2016,03:51 AM,First Quarter,2,2016-11-08 03:51:00,1478548260,"November 8, 2016","Asia/Hong_Kong"
11/14/2016,09:52 PM,Full Moon,3,2016-11-14 21:52:00,1479131520,"November 14, 2016","Asia/Hong_Kong"
11/21/2016,04:33 PM,Last Quarter,4,2016-11-21 16:33:00,1479717180,"November 21, 2016","Asia/Hong_Kong"
11/29/2016,08:18 PM,New Moon,1,2016-11-29 20:18:00,1480421880,"November 29, 2016","Asia/Hong_Kong"
12/07/2016,05:03 PM,First Quarter,2,2016-12-07 17:03:00,1481101380,"December 7, 2016","Asia/Hong_Kong"
12/14/2016,08:05 AM,Full Moon,3,2016-12-14 08:05:00,1481673900,"December 14, 2016","Asia/Hong_Kong"
12/21/2016,09:56 AM,Last Quarter,4,2016-12-21 09:56:00,1482285360,"December 21, 2016","Asia/Hong_Kong"
12/29/2016,02:53 PM,New Moon,1,2016-12-29 14:53:00,1482994380,"December 29, 2016","Asia/Hong_Kong"
